,PF,N. function calls,PMin,PMax,C.O.V.,Digits,Time (s)
RP8,0.0007895145145145071,39960000.0,0.0007808055681580177,0.0007982234608709966,0.005628042987212507,1.2496425940663811,60.00723338127136
RP14,0.0007743634414366355,149240000.0,0.0007699003951699235,0.0007788264877033476,0.0029406169536222095,1.531561543246232,60.001760721206665
RP22,0.004206240802474629,332970000.0,0.004199288974486358,0.004213192630462901,0.0008432508637533717,2.074043205284766,60.00049138069153
RP24,0.0028546401344618937,333180000.0,0.0028489110495013947,0.0028603692194223928,0.0010239666315285704,1.9897141956835607,60.0004301071167
RP25,4.112750787597017e-05,301550000.0,4.040365983319727e-05,4.185135591874307e-05,0.008979805275463588,1.0467330807835378,60.00038194656372
RP28,1.6884286357496615e-07,355360000.0,1.261183770464153e-07,2.11567350103517e-07,0.12910588878625695,-0.11094605178655925,60.001736640930176
RP31,0.003224597073402495,336910000.0,0.0032185429783154287,0.0032306511684895615,0.0009579121709191879,2.018674308701992,60.001431465148926
RP33,0.002575853582446556,288490000.0,0.002570004268276494,0.002581702896616618,0.0011586057622541873,1.9360643158948125,60.00084900856018
RP35,0.0034807167788133628,277910000.0,0.003473792175257762,0.0034876413823689634,0.0010150282664308488,1.9935218633822864,60.00041627883911
RP38,0.008051599719011322,156590000.0,0.008037601479460416,0.008065597958562229,0.0008870398978309087,2.05205684576228,60.00141000747681
RP53,0.031336916015892995,291960000.0,0.031316930165665995,0.031356901866119995,0.0003254005508622987,2.4875817161924787,60.00184655189514
RP55,0.5600407629675382,308270000.0,0.5599853488766309,0.5600961770584456,5.048385180818498e-05,3.2968475167745748,60.00136351585388
RP54,0.000991051017563418,35870000.0,0.0009807533987513124,0.0010013486363755235,0.005301426060924825,1.2756072913266774,60.00733280181885
RP57,0.02824090957884488,279470000.0,0.02822148637565902,0.02826033278203074,0.00035090865661893103,2.454805917975927,60.002235651016235
RP75,0.009819344815578836,373330000.0,0.009809342009861102,0.00982934762129657,0.0005197460910114872,2.2842087682947616,60.001561403274536
RP89,0.005468234931295722,291830000.0,0.005459773618524407,0.005476696244067036,0.0007894824734880762,2.102657506886725,60.000948429107666
RP107,2.870064359018948e-07,114980000.0,1.8907899442311892e-07,3.8493387738067066e-07,0.17408633464147044,-0.2407646813830987,60.00239062309265
RP110,3.207869974336784e-05,257180000.0,3.13864662301899e-05,3.277093325654579e-05,0.011010011521138275,0.9582122265719213,60.00176954269409
RP111,8.522035549062545e-07,287490000.0,7.454874613904391e-07,9.5891964842207e-07,0.06389082358168323,0.19456151357900264,60.00125527381897
RP63,0.0003808314087759819,8660000.0,0.0003678358629193938,0.00039382695463257,0.01741059750671187,0.7591863242637666,60.02411699295044
RP91,0.0006997530864197866,149850000.0,0.0006955189793138239,0.0007039871935257492,0.0030872295748996313,1.5104310739824651,60.00464868545532
RP60,0.04481863132911399,50560000.0,0.04476159671752422,0.04487566594070376,0.0006492796741133277,2.187568192627926,60.008851051330566
RP77,3.026372676178104e-07,231300000.0,2.3173777517016046e-07,3.735367600654603e-07,0.11952881884197267,-0.07747262792107412,60.001341819763184
Four-branch serial system,0.0022162896893138267,234320000.0,0.0022102683015863115,0.002222311077041342,0.0013861874928860853,1.8581780239675445,60.00147318840027
R-S,0.07863641430562095,344480000.0,0.07860798834359964,0.07866484026764226,0.0001844350162373035,2.7341566217046425,60.000603675842285
Axial stressed beam,0.02918388192478703,247300000.0,0.029162902297653462,0.029204861551920598,0.000366780818000686,2.435593385254713,60.00307846069336
